type,year,country,series,value,id,image,feature,volume
CC,2018,Monaco,CC-2018,2.0,CC2018MCO-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_monaco_bosio.jpg,François Joseph Bosio,16 000 coins
CC,2018,France,CC-2018,2.0,CC2018FRA-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_france.jpg,Simone Veil,15 million coins
CC,2018,France,CC-2018,2.0,CC2018FRA-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_france_cornflower.jpg,Remembrance cornflower (Bleuet de France),15 million coins
CC,2018,Lithuania,CC-2018,2.0,CC2018LTU-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_lithuania_song.jpg,Lithuanian Song and Dance celebration (inscribed on the Unesco Representative List of the Intangible Cultural Heritage of Humanity),500 000 coins
CC,2018,Lithuania,CC-2018,2.0,CC2018LTU-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_lithuania_joint.jpg,"Estonia, Latvia and Lithuania jointly issued a commemorative euro coin with a common design in 2018, celebrating the establishment of the States of Estonia and Latvia and the re-establishment of the State of Lithuania",1 million coins
CC,2018,Slovenia,CC-2018,2.0,CC2018SVN-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_slovenia_bee.jpg,Slovenia World Day of Bees,1 million coins
CC,2018,Italy,CC-2018,2.0,CC2018ITA-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_italy_health.jpg,The 60th Anniversary of the establishment of the Italian Ministry of Health,3 million coins
CC,2018,Italy,CC-2018,2.0,CC2018ITA-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_italy_anniversary.jpg,The 70th Anniversary of the Coming into Force of the Italian Constitution,4 million coins
CC,2018,Spain,CC-2018,2.0,CC2018ESP-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_spain_felipe.jpg,The 50th anniversary of King FELIPE VI,400 000 coins
CC,2018,Spain,CC-2018,2.0,CC2018ESP-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_spain_santiago.jpg,UNESCO's World Cultural and Natural Heritage Sites - Santiago,300 000 coins
CC,2018,Estonia,CC-2018,2.0,CC2018EST-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_estonia_joint.jpg,"Estonia, Latvia and Lithuania jointly issued a commemorative euro coin with a common design in 2018, celebrating the establishment of the States of Estonia and Latvia and the re-establishment of the State of Lithuania.",500 000 coins
CC,2018,Estonia,CC-2018,2.0,CC2018EST-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_estonia_independence.jpg,The centennial of the independence of Estonia,1 million coins
CC,2018,Germany,CC-2018,2.0,CC2018DEU-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_germany_anniversary.jpg,The 100th birthday anniversary of the great German statesman and Chancellor Helmut Schmidt (1918-2015),30 million coins
